,name,price_elasticity,price_mean,quantity_mean,intercept,t_score,slope,coefficient_pvalue,rsquared,ID
0,1a,6.707539789648448,170.82592097113042,2743.8888888888887,-15660.855011707607,10.365310120938101,107.73976101499778,2.8726161594642445e-13,71.41711052615027,1-Raw
1,1b,2.146123578155865,163.25360166784597,27023.533333333333,-30972.30871841431,3.4416635964817703,355.2500003629038,0.0012990110666275673,21.597297615830612,1-Raw
2,2a,-1.8317850937889997,150.54377635318713,37417.35555555556,105957.90971122523,-2.249433285845136,-455.28653403026334,0.02965936078773057,10.528413150977734,1-Raw
3,2b,-3.005502920409269,133.08700837767995,17714.88888888889,70957.03917917018,-4.142583254901314,-400.0552040300466,0.0001576801850658,28.525119525951624,1-Raw
4,3a,-2.095225813840882,116.09400832694608,3681.6,11395.383356236593,-3.7309875302653666,-66.4442848291782,0.0005543676872477082,24.45573159103892,1-Raw
5,3b,-2.4893859380064387,116.31823730601981,236.17777777777778,824.1154166473873,-5.709650770496282,-5.05456111170954,9.654472997923994e-07,43.12177732631211,1-Raw
6,4a,-0.12962273840353236,84.79473058714598,14.977777777777778,16.9192383485329,-0.45172475246367394,-0.02289600494407886,0.6537376211688095,0.472305784256144,1-Raw
0,1a,0.9215066436583936,170.82592097113042,1056.094949494949,82.89643720127752,0.6346282753462403,5.697018969727328,0.5290332139482841,0.927943551011079,5-Raw_Detrended
1,1b,0.012991320118749691,163.25360166784597,21392.77272727272,21114.852368545107,0.01696542592229377,1.7023842407661645,0.9865426740784244,0.0006693575584471034,5-Raw_Detrended
2,2a,-0.9007327185765059,150.54377635318713,40833.58282828282,77613.726898421,-1.1904236308702927,-244.31527467365444,0.2404105816369266,3.190456270824016,5-Raw_Detrended
3,2b,-0.7467381152496917,133.08700837767995,21847.48888888889,38161.841564716415,-1.2757679206840569,-122.58411151244687,0.20888638651585142,3.6470354191667775,5-Raw_Detrended
4,3a,-0.711839369415819,116.09400832694608,4271.418181818181,7311.981806874907,-1.4283137303659297,-26.190530147721553,0.16042522596570177,4.529477095206936,5-Raw_Detrended
5,3b,-0.4855131018313634,116.31823730601981,335.9020202020202,498.9868519417247,-1.775632776659181,-1.4020572828201205,0.08287097379782248,6.831366364609492,5-Raw_Detrended
6,4a,-0.203623056948686,84.79473058714598,14.286868686868686,17.19600456311335,-0.6800096146832769,-0.034307979471140115,0.5001432537974009,1.0639378795016308,5-Raw_Detrended
0,1a,0.5600259977971296,170.82592097113042,1043.7754231012036,459.2340503028317,0.5231388729090601,3.4218540691910575,0.6035631532683177,0.63242672340591,6-results_values_deseasonalized
