,name,price_elasticity,price_mean,quantity_mean,intercept,t_score,slope,coefficient_pvalue,rsquared,ID
0,1a,6.707539789648448,170.82592097113042,2743.8888888888887,-15660.855011707607,10.365310120938101,107.73976101499778,2.8726161594642445e-13,71.41711052615027,1-Raw
1,1b,2.146123578155865,163.25360166784597,27023.533333333333,-30972.30871841431,3.4416635964817703,355.2500003629038,0.0012990110666275673,21.597297615830612,1-Raw
2,2a,-1.8317850937889997,150.54377635318713,37417.35555555556,105957.90971122523,-2.249433285845136,-455.28653403026334,0.02965936078773057,10.528413150977734,1-Raw
3,2b,-3.005502920409269,133.08700837767995,17714.88888888889,70957.03917917018,-4.142583254901314,-400.0552040300466,0.0001576801850658,28.525119525951624,1-Raw
4,3a,-2.095225813840882,116.09400832694608,3681.6,11395.383356236593,-3.7309875302653666,-66.4442848291782,0.0005543676872477082,24.45573159103892,1-Raw
5,3b,-2.4893859380064387,116.31823730601981,236.17777777777778,824.1154166473873,-5.709650770496282,-5.05456111170954,9.654472997923994e-07,43.12177732631211,1-Raw
6,4a,-0.12962273840353236,84.79473058714598,14.977777777777778,16.9192383485329,-0.45172475246367394,-0.02289600494407886,0.6537376211688095,0.472305784256144,1-Raw
0,1a,6.595507699150811,170.82592097113042,2731.5693624951437,-15284.517398606049,12.264454661644857,105.46459611446151,1.243099223890592e-15,77.76822422046776,4-results_values_deseasonalized
1,1b,2.172857039465436,163.25360166784597,26813.043795729733,-31447.867165316668,5.2600509610812995,356.87366383244273,4.301686173608949e-06,39.152208668504976,4-results_values_deseasonalized
2,2a,-1.0512773746679216,150.54377635318713,37094.78171923562,76091.68645891325,-1.9019033360998536,-259.040298339454,0.06389647001537722,7.759439612849784,4-results_values_deseasonalized
3,2b,-2.3422368753729534,133.08700837767995,17591.343956390836,58794.43845841862,-3.9727667919578726,-309.5951663824306,0.0002664512739508071,26.84944504547818,4-results_values_deseasonalized
4,3a,-1.407765908593723,116.09400832694608,3662.112894368364,8817.510580481623,-3.0271807686470087,-44.40709525331008,0.004159915632501778,17.567392126782988,4-results_values_deseasonalized
5,3b,-1.975805032521018,116.31823730601981,234.1513067372442,696.7886369600639,-4.8686715387700765,-3.977341308961503,1.5544647715892354e-05,35.53606359412053,4-results_values_deseasonalized
6,4a,-0.3539547045318013,84.79473058714598,14.629334207459209,19.8074558743574,-1.9116821815457132,-0.06106655013870813,0.06259578046109752,7.833170455509764,4-results_values_deseasonalized
0,1a,4.704631369436138,5.139439961403585,7.832267411636643,-29.01566354696158,9.396443626993474,7.169639345010451,5.515955601559249e-12,67.24886327168073,3-Log_Raw
1,1b,1.1310591176617282,5.094073949229606,10.176233264809607,-1.3336881528059097,3.405595194424026,2.2594727780416624,0.001441435878011019,21.242649777561983,3-Log_Raw
2,2a,-0.8653932771781716,5.013432565649461,10.502311858436544,19.590941935556184,-2.1229180745386893,-1.8128557546364832,0.0395570882002746,9.486606000222942,3-Log_Raw
3,2b,-1.5406688388628307,4.889997454680625,9.74971455981318,24.770795969924702,-4.15836247073925,-3.0717973883060967,0.0001501200262305518,28.680396440828858,3-Log_Raw
4,3a,-1.234280348932289,4.753020512601849,8.185783487723238,18.28933518723447,-3.698477834400907,-2.1257117811133597,0.000610906883663359,24.133808732988015,3-Log_Raw
5,3b,-2.5616970790019327,4.752679191016141,5.405104384102103,19.25134449655701,-6.324065514467033,-2.913354669220692,1.2343945944820687e-07,48.18890374884903,3-Log_Raw
6,4a,-0.23987771537186703,4.4148317162173685,2.5867061978462247,3.207199370923823,-0.38882396031224065,-0.1405474122146699,0.6993251224612507,0.35035903501566823,3-Log_Raw
0,1a,4.621493252994131,5.139439961403585,7.835630543590809,-28.376683146568837,10.47674033306109,7.045964922658625,2.060600299571766e-13,71.85165471278377,2-Log_results_values_deseasonalized
1,1b,1.1333548622143022,5.094073949229606,10.180440043175283,-1.3576111792387566,5.027529547602942,2.2649948425186928,9.249366228569498e-06,37.02037846520211,2-Log_results_values_deseasonalized
2,2a,-0.46231676313488107,5.013432565649461,10.509022341134564,15.367519533599964,-1.674255970984287,-0.9690959495006374,0.10133997090111925,6.11995920219327,2-Log_results_values_deseasonalized
3,2b,-1.1420431202981058,4.889997454680625,9.754792072275006,20.895185248355173,-3.839953666328348,-2.2782001993511822,0.00039935228990820075,25.53499318282858,2-Log_results_values_deseasonalized
4,3a,-0.7890149100635806,4.753020512601849,8.190050821709734,14.652123034217242,-2.857645969593579,-1.3595717071648108,0.006552990387627013,15.960047816238887,2-Log_results_values_deseasonalized
5,3b,-1.9385496540897906,4.752679191016141,5.413243594146689,15.907085091083522,-5.358942106422417,-2.207984396837274,3.100968400200569e-06,40.04316376300332,2-Log_results_values_deseasonalized
6,4a,-0.9208771055847282,4.4148317162173685,2.62393562757954,5.040257873545637,-2.2375945360186122,-0.5473192187801896,0.03048177734363358,10.429410523109917,2-Log_results_values_deseasonalized
